queue_id,num_people_waiting,queue_length,active_counters,avg_service_time,priority_customers,day_of_week,time_of_day,historical_queue_load,previous_waiting_time,actual_waiting_time,hour,time_period,is_weekend
1,7,13,4,3.0,0,Thursday,12:09,8.5,2.0,7.7,12,Afternoon,False
2,6,11,5,11.1,2,Friday,03:10,3.7,18.3,24.6,3,Night,False
3,5,9,4,7.2,0,Saturday,21:21,11.2,11.3,9.6,21,Night,True
4,13,18,2,9.7,2,Thursday,17:50,9.6,35.6,94.5,17,Evening,False
5,5,9,4,7.5,1,Friday,07:27,9.6,21.9,16.9,7,Morning,False
6,6,11,4,6.5,0,Monday,20:23,13.3,26.7,17.0,20,Evening,False
7,7,10,3,3.3,0,Wednesday,11:08,5.2,11.7,7.0,11,Morning,False
8,5,9,4,5.0,0,Sunday,10:58,7.5,7.1,5.3,10,Morning,True
9,10,15,4,7.5,1,Saturday,20:22,12.4,7.0,28.3,20,Evening,True
10,9,15,5,3.9,0,Thursday,09:28,5.8,0.0,7.3,9,Morning,False
11,9,13,2,10.3,0,Monday,01:17,9.7,20.2,41.2,1,Night,False
12,6,11,4,8.4,1,Wednesday,14:57,6.2,14.9,16.8,14,Afternoon,False
13,11,17,3,7.7,0,Saturday,20:33,15.8,43.2,49.2,20,Evening,True
14,10,17,4,6.8,1,Thursday,15:22,4.5,10.8,25.1,15,Afternoon,False
15,5,11,4,12.3,0,Monday,14:32,8.1,33.8,23.5,14,Afternoon,False
16,9,13,4,7.9,0,Sunday,15:45,8.7,12.3,20.3,15,Afternoon,True
17,9,14,4,3.2,2,Monday,21:42,10.1,7.0,18.8,21,Night,False
18,11,14,3,6.4,1,Friday,16:59,10.2,24.6,40.4,16,Afternoon,False
19,8,13,4,7.5,0,Tuesday,03:32,10.6,15.3,12.4,3,Night,False
20,6,11,4,7.1,0,Saturday,07:29,4.9,15.4,16.8,7,Morning,True
21,8,13,5,9.8,0,Saturday,12:54,14.3,11.4,27.9,12,Afternoon,True
22,11,15,3,5.5,1,Tuesday,12:26,11.1,21.0,35.7,12,Afternoon,False
23,12,17,5,4.2,1,Saturday,19:41,11.2,8.2,15.7,19,Evening,True
24,6,9,3,11.0,1,Monday,04:24,3.2,13.8,24.6,4,Night,False
25,6,10,3,5.3,0,Tuesday,03:19,11.7,0.0,8.2,3,Night,False
26,11,16,3,7.4,0,Sunday,13:47,5.1,25.2,32.5,13,Afternoon,True
27,7,11,4,11.7,1,Sunday,14:11,9.4,11.8,32.4,14,Afternoon,True
28,8,13,4,4.6,3,Friday,08:01,7.4,8.2,17.0,8,Morning,False
29,7,12,3,9.9,0,Thursday,09:31,3.7,23.9,28.4,9,Morning,False
30,7,10,2,8.8,0,Friday,11:44,3.7,45.9,46.4,11,Morning,False
31,11,15,4,7.5,0,Monday,10:12,7.4,15.6,32.9,10,Morning,False
32,6,9,2,8.4,0,Saturday,07:35,7.5,27.0,26.9,7,Morning,True
33,2,7,4,7.0,2,Wednesday,18:57,6.9,0.0,10.4,18,Evening,False
34,11,17,6,9.1,1,Thursday,17:42,6.3,9.8,26.6,17,Evening,False
35,14,20,5,8.6,0,Monday,17:39,11.0,11.1,37.0,17,Evening,False
36,9,13,3,8.9,0,Tuesday,22:37,4.0,14.0,21.7,22,Night,False
37,7,13,4,6.7,2,Sunday,17:36,1.3,8.3,23.8,17,Evening,True
38,10,12,2,4.6,0,Friday,17:09,10.2,25.2,37.2,17,Evening,False
39,8,14,4,2.7,0,Thursday,11:48,9.9,1.3,6.9,11,Morning,False
40,13,23,6,8.4,0,Sunday,13:12,14.6,14.8,25.0,13,Afternoon,True
41,7,13,4,13.6,0,Tuesday,16:24,5.5,16.3,31.8,16,Afternoon,False
42,7,11,3,9.5,0,Saturday,21:57,6.0,31.2,60.0,21,Night,True
43,7,10,3,6.4,1,Friday,08:54,7.7,22.6,22.0,8,Morning,False
44,6,9,3,7.5,0,Wednesday,11:31,7.2,28.8,17.6,11,Morning,False
45,13,19,4,5.4,0,Tuesday,16:16,8.7,17.5,24.3,16,Afternoon,False
46,6,10,3,8.9,1,Sunday,07:43,7.4,17.3,22.5,7,Morning,True
47,14,20,5,3.2,0,Friday,20:40,10.7,11.8,12.7,20,Evening,False
48,4,7,3,2.8,1,Saturday,02:50,4.0,13.3,3.3,2,Night,True
49,6,10,3,5.3,0,Thursday,16:48,8.9,14.4,13.0,16,Afternoon,False
50,14,20,5,6.6,3,Saturday,17:44,10.1,13.6,38.6,17,Evening,True
51,4,9,3,2.0,0,Tuesday,22:20,8.4,27.3,5.0,22,Night,False
52,8,14,5,2.0,0,Tuesday,11:27,6.3,1.6,4.7,11,Morning,False
53,6,10,3,6.3,0,Wednesday,05:01,5.9,13.4,11.4,5,Night,False
54,13,18,3,7.8,0,Tuesday,11:46,5.3,21.2,45.4,11,Morning,False
55,5,11,5,7.3,0,Saturday,08:25,6.3,9.8,7.3,8,Morning,True
56,19,24,5,5.2,0,Saturday,17:10,14.6,0.5,29.0,17,Evening,True
57,7,11,4,11.7,0,Wednesday,19:05,8.7,14.7,29.5,19,Evening,False
58,7,12,4,6.0,1,Friday,15:29,8.7,13.9,16.8,15,Afternoon,False
59,10,16,5,10.3,0,Friday,21:09,13.1,5.7,29.4,21,Night,False
60,5,8,3,6.7,1,Saturday,09:38,5.9,19.4,17.7,9,Morning,True
61,3,8,5,7.9,0,Thursday,08:42,4.6,14.2,3.2,8,Morning,False
62,16,20,3,6.8,1,Sunday,12:56,8.7,15.3,46.5,12,Afternoon,True
63,11,16,5,4.1,0,Wednesday,15:50,12.4,9.0,12.9,15,Afternoon,False
64,6,11,3,7.3,0,Thursday,17:23,9.2,27.7,18.4,17,Evening,False
65,10,14,4,5.2,2,Wednesday,10:57,4.7,8.0,19.4,10,Morning,False
66,10,14,4,8.8,1,Thursday,17:49,10.6,5.9,33.6,17,Evening,False
67,13,17,3,9.3,1,Thursday,21:43,11.1,23.3,51.1,21,Night,False
68,10,14,3,8.8,1,Saturday,08:28,8.0,23.7,43.1,8,Morning,True
69,4,9,4,8.0,0,Thursday,15:00,8.8,20.6,12.8,15,Afternoon,False
70,13,18,5,7.5,1,Sunday,10:27,5.5,2.9,15.9,10,Morning,True
71,6,9,3,7.9,1,Thursday,11:39,8.7,27.7,22.9,11,Morning,False
72,5,9,4,9.8,1,Monday,14:47,12.1,24.0,24.7,14,Afternoon,False
73,3,8,4,9.2,0,Monday,07:48,5.7,9.6,7.0,7,Morning,False
74,6,11,4,3.1,0,Monday,10:14,10.5,1.9,10.0,10,Morning,False
75,8,13,4,4.9,1,Friday,00:34,8.7,0.0,11.7,0,Night,False
76,6,9,2,8.4,0,Friday,08:12,7.8,31.6,32.2,8,Morning,False
77,8,14,3,8.9,1,Tuesday,15:36,10.3,21.1,40.3,15,Afternoon,False
78,15,21,4,8.9,0,Saturday,19:20,10.7,17.3,47.3,19,Evening,True
79,5,8,3,8.5,0,Sunday,19:48,7.4,15.2,15.3,19,Evening,True
80,9,14,4,5.9,1,Wednesday,07:32,8.7,8.5,13.9,7,Morning,False
81,9,14,4,8.3,1,Wednesday,08:06,10.7,8.6,25.3,8,Morning,False
82,13,19,5,5.9,0,Wednesday,19:22,5.0,17.6,20.0,19,Evening,False
83,8,11,2,6.7,0,Thursday,12:30,9.3,32.9,42.3,12,Afternoon,False
84,6,11,5,11.4,0,Sunday,08:37,14.5,20.6,16.1,8,Morning,True
85,10,13,3,7.5,0,Saturday,08:15,12.7,26.4,35.6,8,Morning,True
86,12,16,4,6.1,1,Monday,09:56,10.4,9.7,23.2,9,Morning,False
87,6,13,4,9.2,0,Monday,19:47,9.1,21.0,20.3,19,Evening,False
88,9,13,4,7.8,1,Thursday,12:31,12.9,27.0,32.8,12,Afternoon,False
89,7,11,3,7.0,0,Sunday,16:30,9.6,16.8,18.2,16,Afternoon,True
90,7,11,3,4.4,0,Monday,08:24,8.7,17.9,13.0,8,Morning,False
91,21,27,5,5.1,1,Wednesday,20:35,10.3,0.0,29.2,20,Evening,False
92,15,20,5,5.1,0,Monday,15:50,6.7,9.5,23.5,15,Afternoon,False
93,4,9,4,12.0,0,Tuesday,11:02,1.1,25.7,16.6,11,Morning,False
94,15,20,3,7.8,0,Wednesday,13:54,17.2,17.7,58.7,13,Afternoon,False
95,11,16,5,5.5,0,Sunday,17:26,8.3,0.0,15.2,17,Evening,True
96,5,11,5,5.8,0,Thursday,09:20,9.6,14.7,8.5,9,Morning,False
