queue_id,num_people_waiting,queue_length,active_counters,avg_service_time,priority_customers,day_of_week,time_of_day,historical_queue_load,previous_waiting_time,actual_waiting_time
1,7,13,4,3.0,0.0,Thursday,12:09,8.5,2.0,7.7
2,6,11,5,11.1,2.0,Friday,03:10,3.7,18.3,24.6
3,5,9,4,7.2,0.0,Saturday,21:21,11.2,11.3,9.6
4,13,18,2,9.7,2.0,Thursday,17:50,9.6,35.6,94.5
5,5,9,4,,1.0,Friday,07:27,9.6,21.9,16.9
6,6,11,4,6.5,0.0,Monday,20:23,13.3,26.7,17.0
7,7,10,3,3.3,0.0,Wednesday,11:08,5.2,11.7,7.0
8,5,9,4,5.0,0.0,Sunday,10:58,7.5,7.1,5.3
9,10,15,4,7.5,1.0,Saturday,20:22,12.4,7.0,28.3
10,9,15,5,3.9,0.0,Thursday,09:28,5.8,0.0,7.3
11,9,13,2,10.3,0.0,Monday,01:17,9.7,20.2,41.2
12,6,11,4,8.4,1.0,Wednesday,14:57,6.2,14.9,16.8
13,11,17,3,7.7,0.0,Saturday,20:33,15.8,43.2,49.2
14,10,17,4,6.8,1.0,Thursday,15:22,4.5,10.8,25.1
15,5,11,4,12.3,0.0,Monday,14:32,8.1,33.8,23.5
16,9,13,4,7.9,0.0,Sunday,15:45,,12.3,20.3
17,9,14,4,3.2,2.0,Monday,21:42,10.1,7.0,18.8
18,11,14,3,6.4,1.0,Friday,16:59,10.2,24.6,40.4
19,8,13,4,,0.0,Tuesday,03:32,10.6,15.3,12.4
20,6,11,4,7.1,0.0,Saturday,07:29,4.9,15.4,16.8
21,8,13,5,9.8,0.0,Saturday,12:54,14.3,11.4,27.9
22,11,15,3,5.5,1.0,Tuesday,12:26,11.1,21.0,35.7
23,12,17,5,4.2,1.0,Saturday,19:41,11.2,8.2,15.7
24,6,9,3,11.0,1.0,Monday,04:24,3.2,13.8,24.6
25,6,10,3,5.3,0.0,Tuesday,03:19,11.7,0.0,8.2
26,11,16,3,7.4,0.0,Sunday,13:47,5.1,25.2,32.5
27,7,11,4,11.7,1.0,Sunday,14:11,9.4,11.8,32.4
28,8,13,4,4.6,3.0,Friday,08:01,7.4,8.2,17.0
29,7,12,3,9.9,0.0,Thursday,09:31,3.7,23.9,28.4
30,7,10,2,8.8,0.0,Friday,11:44,3.7,45.9,46.4
31,11,15,4,,0.0,Monday,10:12,7.4,15.6,32.9
32,6,9,2,8.4,0.0,Saturday,07:35,7.5,27.0,26.9
33,2,7,4,7.0,2.0,Wednesday,18:57,6.9,0.0,10.4
34,11,17,6,9.1,1.0,Thursday,17:42,6.3,9.8,26.6
35,14,20,5,8.6,0.0,Monday,17:39,11.0,11.1,37.0
