queue_id,num_people_waiting,queue_length,active_counters,avg_service_time,priority_customers,day_of_week,time_of_day,historical_queue_load,previous_waiting_time,actual_waiting_time,hour,time_period,is_weekend
558,13,16,3,7.8,0,Sunday,11:44,11.9,24.0,42.4,11,Morning,True
1587,6,10,2,9.7,2,Monday,11:37,9.6,44.7,57.2,11,Morning,False
603,4,10,4,6.1,1,Sunday,15:03,9.8,3.9,10.3,15,Afternoon,True
443,2,9,5,9.0,1,Sunday,07:08,4.6,15.4,10.8,7,Morning,True
1776,10,13,3,4.9,1,Thursday,20:22,12.7,11.7,24.8,20,Evening,False
219,4,9,3,7.7,3,Thursday,15:36,7.0,19.5,26.2,15,Afternoon,False
2100,9,13,2,5.1,0,Thursday,10:46,10.8,29.5,31.7,10,Morning,False
880,4,9,5,3.7,1,Friday,23:15,5.9,4.2,2.8,23,Night,False
737,7,11,3,2.7,0,Thursday,16:01,7.0,0.0,7.0,16,Afternoon,False
3312,9,15,4,5.9,0,Monday,14:20,9.5,9.2,19.0,14,Afternoon,False
2728,9,14,5,11.0,0,Saturday,03:09,9.0,13.1,18.9,3,Night,True
3802,11,16,4,13.1,0,Saturday,10:25,4.4,25.6,49.1,10,Morning,True
1428,6,9,2,10.6,1,Thursday,14:11,3.6,50.6,71.3,14,Afternoon,False
1362,16,23,5,2.8,0,Monday,13:12,10.8,12.6,17.4,13,Afternoon,False
3371,11,16,5,8.4,1,Monday,12:53,8.0,14.8,32.3,12,Afternoon,False
3429,6,12,5,6.7,0,Saturday,14:11,7.7,11.7,15.3,14,Afternoon,True
2881,2,5,3,2.6,0,Wednesday,16:57,3.9,14.8,3.7,16,Afternoon,False
2820,15,18,3,6.3,1,Saturday,18:50,17.3,0.0,48.1,18,Evening,True
1211,10,14,4,7.2,0,Saturday,00:01,7.6,5.2,16.4,0,Night,True
3826,8,12,3,8.4,3,Wednesday,07:32,10.6,17.7,36.0,7,Morning,False
2790,6,13,3,7.5,0,Sunday,21:17,7.8,11.1,15.7,21,Night,True
1715,4,8,3,6.7,0,Monday,00:32,3.9,12.2,7.4,0,Night,False
2982,7,11,4,5.4,0,Saturday,08:25,10.0,15.3,13.9,8,Morning,True
949,7,13,4,5.4,0,Monday,11:32,11.3,16.6,15.1,11,Morning,False
3213,8,12,4,7.3,0,Thursday,20:02,8.1,13.0,19.5,20,Evening,False
806,8,12,4,5.6,3,Thursday,13:05,12.5,17.2,23.7,13,Afternoon,False
2697,4,8,3,9.7,0,Tuesday,05:23,2.9,21.2,7.7,5,Night,False
1314,3,9,4,7.4,1,Monday,18:00,9.5,11.0,15.4,18,Evening,False
1737,9,16,3,10.3,1,Saturday,08:43,5.9,27.1,43.9,8,Morning,True
579,11,17,5,7.7,1,Friday,11:29,10.1,8.6,26.6,11,Morning,False
2271,4,8,3,11.3,3,Thursday,00:02,4.4,9.3,29.0,0,Night,False
1654,4,8,4,8.4,0,Saturday,07:50,8.7,14.0,10.9,7,Morning,True
3352,9,15,5,4.0,1,Friday,09:54,12.1,0.0,11.8,9,Morning,False
1,7,13,4,3.0,0,Thursday,12:09,8.5,2.0,7.7,12,Afternoon,False
1124,6,12,4,5.4,0,Thursday,10:39,10.7,4.6,11.5,10,Morning,False
3174,7,12,4,8.9,0,Thursday,15:53,9.7,21.1,19.4,15,Afternoon,False
3831,11,15,2,6.6,2,Wednesday,10:48,8.7,16.5,50.4,10,Morning,False
2601,7,12,4,8.6,1,Tuesday,10:48,8.7,15.7,22.7,10,Morning,False
3918,15,19,3,13.7,3,Friday,12:49,8.7,46.6,125.3,12,Afternoon,False
3794,7,11,3,2.0,1,Tuesday,20:42,7.5,0.0,5.4,20,Evening,False
248,15,21,5,7.6,1,Thursday,19:58,6.5,2.8,33.6,19,Evening,False
1412,10,12,2,8.1,0,Friday,15:22,5.7,11.5,54.8,15,Afternoon,False
1351,7,13,6,6.6,0,Wednesday,18:26,11.5,6.4,9.4,18,Evening,False
2382,9,14,5,7.6,2,Saturday,19:30,7.8,13.5,30.3,19,Evening,True
2828,4,10,5,8.7,1,Monday,15:33,5.0,0.0,10.5,15,Afternoon,False
2758,4,9,3,7.5,1,Tuesday,13:54,9.3,13.7,17.0,13,Afternoon,False
3764,15,20,5,9.5,1,Saturday,20:33,13.7,17.9,43.3,20,Evening,True
651,12,18,6,8.4,3,Thursday,16:19,13.5,1.3,35.5,16,Afternoon,False
1951,6,12,3,8.0,0,Tuesday,15:28,3.5,29.2,24.7,15,Afternoon,False
3402,6,12,4,14.4,2,Saturday,02:03,4.1,9.6,35.1,2,Night,True
1862,12,16,4,8.5,2,Thursday,09:48,7.5,19.9,35.5,9,Morning,False
1513,15,22,5,7.3,0,Friday,14:24,8.7,19.9,33.0,14,Afternoon,False
176,5,11,5,10.8,0,Wednesday,10:15,11.7,16.4,14.0,10,Morning,False
279,9,16,5,10.1,0,Monday,07:53,10.3,22.6,24.5,7,Morning,False
1437,10,13,3,11.6,0,Monday,21:56,5.8,38.3,47.9,21,Night,False
2858,7,13,4,10.4,1,Monday,09:37,7.2,23.9,29.1,9,Morning,False
2150,3,8,3,5.8,1,Friday,05:13,2.3,4.1,6.6,5,Night,False
